"player_stats_id","player_fifa_api_id.x","player_api_id","date","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","id","player_name","player_fifa_api_id.y","birthday","height","weight","image_url"
150542,188545,93447,"2016-01-28 00:00:00",88,89,"right","medium","medium",62,89,83,82,84,85,77,68,65,87,79,81,78,88,78,85,83,79,82,82,80,39,88,78,77,25,42,19,15,6,12,8,10,9039,"Robert Lewandowski",188545,"1988-08-21 00:00:00",185.42,174,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
160836,153079,37412,"2016-03-10 00:00:00",88,88,"right","high","medium",70,90,68,79,85,89,82,72,63,89,92,86,86,88,90,87,80,74,73,84,57,24,91,83,83,13,20,12,13,15,6,11,14,9674,"Sergio Aguero",153079,"1988-06-02 00:00:00",172.72,163,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
169806,164240,80562,"2015-09-21 00:00:00",88,88,"right","high","high",60,38,82,79,63,68,61,73,81,80,72,76,75,84,68,78,93,74,81,71,77,91,59,74,71,90,91,89,9,12,5,9,10,10188,"Thiago Silva",164240,"1984-09-22 00:00:00",182.88,174,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
39201,193080,182917,"2016-04-21 00:00:00",87,90,"right","medium","medium",17,13,21,31,13,13,21,19,32,31,51,55,57,84,43,31,67,25,64,12,38,30,12,68,40,13,21,13,88,81,86,85,89,2340,"David De Gea",193080,"1990-11-07 00:00:00",193.04,181,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
61108,173731,31921,"2016-04-28 00:00:00",87,89,"left","high","medium",84,81,76,84,76,87,87,85,80,85,93,95,75,84,65,87,67,90,79,88,77,59,83,77,76,60,65,62,15,15,11,5,6,3660,"Gareth Bale",173731,"1989-07-16 00:00:00",182.88,163,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
76431,198710,164684,"2016-02-18 00:00:00",87,93,"left","medium","medium",88,85,68,84,91,87,82,86,80,85,78,78,83,85,74,86,55,73,71,87,74,58,83,87,81,25,47,30,15,15,15,5,14,4599,"James Rodriguez",198710,"1991-07-12 00:00:00",180.34,165,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
81110,183907,36183,"2016-01-14 00:00:00",87,88,"right","medium","medium",69,34,87,75,53,67,56,31,81,73,74,83,58,83,54,79,76,75,90,58,82,84,47,74,46,84,90,91,7,12,15,6,5,4888,"Jerome Boateng",183907,"1988-09-03 00:00:00",193.04,198,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
106199,177003,31097,"2015-10-16 00:00:00",87,87,"right","high","medium",78,71,55,86,75,86,79,77,83,92,78,74,93,88,94,73,67,87,61,82,62,73,79,89,80,69,75,73,13,9,7,14,9,6389,"Luka Modric",177003,"1985-09-09 00:00:00",175.26,143,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
143229,121939,30894,"2016-01-28 00:00:00",87,87,"right","medium","high",84,47,63,86,66,82,77,59,79,86,73,69,83,91,93,57,72,79,59,65,58,93,69,83,71,86,87,95,11,12,5,14,5,8601,"Philipp Lahm",121939,"1983-11-11 00:00:00",170.18,146,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
161328,155862,30962,"2016-03-31 00:00:00",87,87,"right","high","medium",74,60,86,76,66,57,73,68,70,83,78,79,82,82,60,77,91,86,80,55,83,88,52,63,68,85,89,90,11,8,9,7,11,9699,"Sergio Ramos",155862,"1986-03-30 00:00:00",182.88,165,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
